sms,label,Spam/NonSpam,Word_length,preprocessed_text
"Hows the champ just leaving glasgow!
",0,Non Spam,6,champ leav glasgow
"K:)all the best:)congrats...
",0,Non Spam,3,kall bestcongrat
"I wonder if you'll get this text?
",0,Non Spam,7,youll thi text
"I need to come home and give you some good lovin...
",0,Non Spam,11,good lovin
"Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
",1,Spam,28,brand mobil music servic live free music player arriv shortli instal phone brows content artist
"Shall i ask one thing if you dont mistake me.
",0,Non Spam,10,thing dont mistak
"Check wid corect speling i.e. Sarcasm
",0,Non Spam,6,check wid corect spele sarcasm
"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate
",1,Spam,27,urgent mobil award <cur><number> bonu caller prize <number><number><number> thi attempt contact <phone> boxqu nation rate
"Are you angry with me. What happen dear
",0,Non Spam,8,angri happen dear
"I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
",0,Non Spam,23,thk dun haf <number> hint forum alreadi lor told ron darren <number> shuhui
"Yup ok thanx...
",0,Non Spam,3,yup
"Hi:)cts employee how are you?
",0,Non Spam,5,hict employe
"Pls pls find out from aunt nike.
",0,Non Spam,7,aunt nike
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you
",0,Non Spam,37,wow love sooo bare stand day goe love
"No screaming means shouting..
",0,Non Spam,4,scream shout
"Hey what happen de. Are you alright.
",0,Non Spam,7,hey happen alright
"Should I have picked up a receipt or something earlier
",0,Non Spam,10,pick receipt someth earlier
"I think chennai well settled?
",0,Non Spam,5,chennai settl
"Oh dang! I didn't mean o send that to you! Lol!
",0,Non Spam,11,dang didnt send lol
"Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
",0,Non Spam,36,unfortun ive pick sister airport dont ill tri
"Horrible bf... I now v hungry...
",0,Non Spam,6,horribl bf hungri
"Remember on that day..
",0,Non Spam,4,rememb day
"You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
",1,Spam,28,nokia thi win free auction send nokia <number> hgsuiteland rowwjhl <number>+
"How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
",0,Non Spam,18,feel real valentin yo valentin tho hardli play
"All sounds good. Fingers . Makes it difficult to type
",0,Non Spam,10,sound good finger difficult type
"Midnight at the earliest
",0,Non Spam,4,midnight earliest
"You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
",0,Non Spam,24,tri xavier smoke becaus dont smoke told smoke
"K come to nordstrom when you're done
",0,Non Spam,7,nordstrom
"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
",0,Non Spam,39,konw waht rael friendship gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog sitll yuo wihtuot ayn mitsak goodnight nice sleepsweet dream
"Now press conference da:)
",0,Non Spam,4,press confer
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow
",1,Spam,26,orang <number> month free access game news sport plu <number> free text <number> photo messag repli ye term appli <url>
"After completed degree. There is no use in joining finance.
",0,Non Spam,10,complet degre join financ
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?
",0,Non Spam,35,good afternoon love ani job prospect lazi bleak hmmm happi love
"Shant disturb u anymore... Jia you...
",0,Non Spam,6,shant disturb anymor jia
"Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
",0,Non Spam,17,bishan lar nearer buy earli buy gotta park car
"Me, i dont know again oh
",0,Non Spam,6,dont
"Dude sux for snake. He got old and raiden got buff
",0,Non Spam,11,dude sux snake raiden buff
"He says hi and to get your ass back to south tampa (preferably at a kegger)
",0,Non Spam,16,ass south tampa prefer kegger
"In e msg jus now. U said thanks for gift.
",0,Non Spam,10,msg gift
"U too...
",0,Non Spam,2,
"Ok how you dear. Did you call chechi
",0,Non Spam,8,dear chechi
"Yeah we do totes. When u wanna?
",0,Non Spam,7,yeah tote wanna
"Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
",0,Non Spam,15,pierr cardin normal cost <number> sale
"Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
",0,Non Spam,26,good sleep rhythm person ha establish rhythm bodi learn
"Wat r u doing?
",0,Non Spam,4,wat
"Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
",0,Non Spam,23,messag truro hospit ext phone phone
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...
",0,Non Spam,22,singl big anyth <number> life dont life anyth gud nyt
"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?
",0,Non Spam,19,money ani chanc gang grand natur adventur
"Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
",0,Non Spam,11,dnt worryus ice piec cloth packalso <number> tablet
"Dude just saw a parked car with its sunroof popped up. Sux
",0,Non Spam,12,dude park car sunroof pop sux
"Get ready to put on your excellent sub face :)
",0,Non Spam,10,readi excel face
"Tmrw. Im finishing 9 doors
",0,Non Spam,5,tmrw finish <number> door
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.
",0,Non Spam,29,<> day ago guy sell wifi onli <> <> whi blank
"I am late. I will be there at
",0,Non Spam,8,late
"whatever, im pretty pissed off.
",0,Non Spam,5,whatev pretti piss
"I dont have that much image in class.
",0,Non Spam,8,dont imag class
"No:-)i got rumour that you going to buy apartment in chennai:-)
",0,Non Spam,11,noi rumour buy chennai
"Near kalainar tv office.thenampet
",0,Non Spam,4,kalainar officethenampet
"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
",1,Spam,22,cashbal current <number> pound maxim cashin send <number> onli pmsg <phone> hgsuiteland rowwjhl
"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
",1,Spam,28,auction brand nokia <number> <number> auction today auction free <number> join txt nokia <number> hgsuiteland rowwjhl
"My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
",0,Non Spam,25,catch afternoon watch wan <number> watch today tmr lor
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...
",0,Non Spam,11,sound gd haha wah yan jiu fast liao
"No. To be nosy I guess. Idk am I over reacting if I'm freaked?
",0,Non Spam,14,nosi guess idk react freak
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.
",0,Non Spam,38,rememb hurt dure day satan impost mene pay priceso itmay destini pray mind
"How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
",0,Non Spam,103,girl happi difficult girl happi onli <number> friend <number> companion <number> lover <number> chef <> good listen <> organ <> good boyfriend <> veri clean <> sympathet <> athlet <> warm <> courag <> determin <> true <> depend <> intellig <> psychologist <> pest extermin <> psychiatrist <> healer <> stylist <> driver aaniy pudunga venaam
"Why is that, princess? I bet the brothas are all chasing you!
",0,Non Spam,12,whi princess bet brotha chase
"I shall book chez jules for half eight, if that's ok with you?
",0,Non Spam,13,book chez jule half
"Hhahhaahahah rofl wtf nig was leonardo in your room or something
",0,Non Spam,11,hhahhaahahah rofl wtf nig leonardo room someth
"Yep, at derek's house now, see you Sunday &lt;3
",0,Non Spam,9,yep derek hous sunday <<number>
"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day
",0,Non Spam,19,cool befor kick <> ill day
"I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
",0,Non Spam,69,uncl john thing nigeria <> dollar year strain plan pay everi dime everi dime expect anyth practic someth
"There are no other charges after transfer charges and you can withdraw anyhow you like
",0,Non Spam,15,charg transfer charg withdraw
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL
",0,Non Spam,32,dont search love love whi fall love bcoz dont forc fall smeon hold bslvyl
"At 4. Let's go to bill millers
",0,Non Spam,7,<number> miller
"I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
",0,Non Spam,25,love set soul spark flame big rawr flame xoxo
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
",0,Non Spam,33,somewhr someon <number> god ha decid perfect time meet dat person till den enjoy crush
"That's my honeymoon outfit. :)
",0,Non Spam,5,honeymoon outfit
"Will it help if we propose going back again tomorrow
",0,Non Spam,10,propos tomorrow
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
",1,Spam,20,privat <number> account statement <number> unredeem point <phone> identifi code <number> expir <number><number><number>
"Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
",0,Non Spam,28,blame day life good day happi bad day experi essenti life god bless good morn
"Pls confirm the time to collect the cheque.
",0,Non Spam,8,confirm time collect chequ
"As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
",1,Spam,29,regist subscrib draw <number> <cur><number> gift voucher enter receipt correct olymp txt <number>
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
",1,Spam,23,urgent mobil number ha award <cur><number> prize guarante <phone> land claim <number> valid onli ppm
"Daddy will take good care of you :)
",0,Non Spam,8,daddi good care
"Yeah probably, I still gotta check out with leo
",0,Non Spam,9,yeah probabl gotta check leo
"K.then any other special?
",0,Non Spam,4,kthen ani special
"Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
",0,Non Spam,27,carlo sweet time usual patti donew smoke ill haul ass
"Ok pa. Nothing problem:-)
",0,Non Spam,4,pa noth problem
"Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
",0,Non Spam,26,heard job wildlif talk tonight wantcom thatworzel wizzl whatev
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
",0,Non Spam,19,god pick flower dippeditinadew lovingli touch itwhichturnedinto gift tomeandsaidthi friend
"When you came to hostel.
",0,Non Spam,5,hostel
"Ok no prob... I'll come after lunch then...
",0,Non Spam,8,prob ill lunch
"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
",0,Non Spam,21,dat ill leav <number> shanghai haf time <number> meet cya
"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
",0,Non Spam,36,freez rememb kiss mom morn love
"You all ready for * big day tomorrow?
",0,Non Spam,8,readi big day tomorrow
"I'll probably be around mu a lot
",0,Non Spam,7,ill probabl lot
"645
",0,Non Spam,1,<number>
"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
",1,Spam,20,rtking pro video club>> <email> <phone> <number>+ club credit redeem <url> enjoy
"Thnx dude. u guys out 2nite?
",0,Non Spam,6,thnx dude guy nite
"Me sef dey laugh you. Meanwhile how's my darling anjie!
",0,Non Spam,10,sef dey laugh meanwhil darl anji
"Mm i had my food da from out
",0,Non Spam,8,mm food
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
",0,Non Spam,25,sens btw carlo difficult guy gonna smoke pick batch
"Did u download the fring app?
",0,Non Spam,6,download fring app
"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
",0,Non Spam,22,<number> guy kinda flaki friend pick <cur> <> worth tonight possibl
"Friends that u can stay on fb chat with
",0,Non Spam,9,friend stay fb chat
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...
",0,Non Spam,37,fuck babe sooooo sleep bed lone sleep dream love
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
",0,Non Spam,24,live veri simpl love simpl laugh simpl win tooo simpl simpl veri difficult gud nte
"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
",1,Spam,24,secret admir <number> contact ufind rreveal specialcal <phone>
"Ah, well that confuses things, doesn‘t it?
",0,Non Spam,7,confus thing doesnt
"500 free text msgs. Just text ok to 80488 and we'll credit your account
",1,Spam,14,<number> free text msg text <number> credit account
"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
",0,Non Spam,32,dear urgnt dont problem dont work ani problem wate repli
"Dear how you. Are you ok?
",0,Non Spam,6,dear
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS
",1,Spam,27,select stay <number> <number> british hotel noth holiday worth <cur><number> claim london <phone> <number> swss
"Yes princess! I want to make you happy...
",0,Non Spam,8,ye princess happi
"Sounds like you have many talents! would you like to go on a dinner date next week?
",0,Non Spam,17,sound mani talent dinner week
"I am going to film 2day da. At 6pm. Sorry da.
",0,Non Spam,11,film day sorri
"We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
",0,Non Spam,15,watch movi alreadi xy <number> shop shop
"Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
",0,Non Spam,28,littl parti anim thought buzz friend grin remind love send naughti ador kiss
"Yesterday its with me only . Now am going home.
",0,Non Spam,10,yesterday onli
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p
",1,Spam,23,eeri nokia tone rpli tone titl <number> tone dracula <number> titl ghost addamsfa munster exorcist twilight <url> poboxwwq
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
",0,Non Spam,32,life brought sun shini warm heart constant smile face feel love care
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
",0,Non Spam,36,shit surpris spent french guy met town fool bit didnt fuck
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
",1,Spam,29,a<cur>network compani respons supplier shop ha guarante sell
"Great comedy..cant stop laughing da:)
",0,Non Spam,5,great comedyc laugh
"FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
",1,Spam,31,freemsgfeelin kinda lnli hope <number> compani jst cam mobi wanna pictxt repli <number> msgp rcv hlp <phone> <number>
"Alright, we're all set here, text the man
",0,Non Spam,8,alright set text man
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?
",0,Non Spam,32,theyr keen kind feel shouldnt tomo dont mind
"Sleeping nt feeling well
",0,Non Spam,4,sleep feel
"U WILL SWITCH YOUR FONE ON DAMMIT!!
",0,Non Spam,7,switch fone dammit
"India have to take lead:)
",0,Non Spam,5,india lead
"I.ll post her out l8r. In class
",0,Non Spam,7,ill post class
"Thts wat Wright Brother did to fly..
",0,Non Spam,7,tht wat wright brother fli
"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!
",0,Non Spam,28,good event laden dont worri head throat wreck
"If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
",0,Non Spam,27,laugh realli loud talk spontan dont care feel probabl dear friend goodeven dear
"ITS A LAPTOP TAKE IT WITH YOU.
",0,Non Spam,7,laptop
"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
",0,Non Spam,27,dont ani file bagi work mei anyth room
"I wan but too early lei... Me outside now wun b home so early... Neva mind then...
",0,Non Spam,17,wan earli lei outsid wun earli neva mind
"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
",1,Spam,19,chanc win <cur><number> cash everi wk txt action <number> tsc <url> custcar <phone> xpwk
"I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? 
",0,Non Spam,33,bugi juz wat walk oredi late repli oso dat din buy
"At 7 we will go ok na.
",0,Non Spam,7,<number>
"Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
",0,Non Spam,19,ye post coupl pic fb snow outsid wake
"S:-)if we have one good partnership going we will take lead:)
",0,Non Spam,11,sif good partnership lead
"RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
",1,Spam,22,rgent thi attempt contact uu <cur><number> <phone> <number> tcsbcmwcnxx callcost ppm mobilesvari max<cur><number> <number>
"Yeah, where's your class at?
",0,Non Spam,5,yeah class
"No just send to you. Bec you in temple na.
",0,Non Spam,10,send bec templ
"You aren't coming home between class, right? I need to work out and shower!
",0,Non Spam,14,class work shower
"Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
",1,Spam,25,lookin <number> sauci daytim fun wiv busti marri woman free week chat <number> sort time <phone> janinexx calls<cur><number>minmobsmorelkpoboxhpfl
"S but mostly not like that.
",0,Non Spam,6,mostli
"Ü v ma fan...
",0,Non Spam,4,fan
"Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
",0,Non Spam,27,dunno late reach insid alreadi ate spageddi lor gal laugh lor
"Guess who spent all last night phasing in and out of the fourth dimension
",0,Non Spam,14,guess spent night phase fourth dimens
"So now my dad is gonna call after he gets out of work and ask all these crazy questions.
",0,Non Spam,19,dad gonna work crazi question
"Yes..but they said its IT.,
",0,Non Spam,5,yesbut
"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)
",0,Non Spam,24,veri hurt meaning compromis everyth love love compromis everyth gud mornin
"Lmao!nice 1
",0,Non Spam,2,lmaonic <number>
"Glad to see your reply.
",0,Non Spam,5,glad repli
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
",1,Spam,28,urgent tri contact today draw <cur><number> prize guarante <phone> land claim valid onli
"Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
",1,Spam,13,monthli password wap mobsicom <number> wap phone
"Nah dub but je still buff
",0,Non Spam,6,nah dub je buff
"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""
",0,Non Spam,24,pain word thought happi toughest thing earth toughest happi unspoken pain insid
"Yeah, that's fine! It's £6 to get in, is that ok? 
",0,Non Spam,11,yeah fine <cur><number>
"Lol where do u come up with these ideas?
",0,Non Spam,9,lol idea
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
",0,Non Spam,29,mani peopl special sight onli veri remain special till sight maintain till life shja
"Okay... We wait ah
",0,Non Spam,4,wait
"Y lei?
",0,Non Spam,2,lei
"HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
",0,Non Spam,30,babe bed sorri tonight realli wanna tomorrow <number> love xxx
"Already am squatting is the new way of walking
",0,Non Spam,9,alreadi squat walk
"Do you want bold 2 or bb torch
",0,Non Spam,8,bold <number> bb torch
"Cramps stopped. Going back to sleep
",0,Non Spam,6,cramp sleep
"todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
",1,Spam,28,today vodafon number <number>mi digit select receiv <cur><number> award number match pleas <phone> claim <cur><number> award
"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
",1,Spam,16,free rington weekli ringtoneget week freesend subpoli <number><number> weekstop sms<phone>
"Nan sonathaya soladha. Why boss?
",0,Non Spam,5,nan sonathaya soladha whi boss
"Bring tat cd don forget
",0,Non Spam,5,bring tat forget
"I don't know but I'm raping dudes at poker
",0,Non Spam,9,dont rape dude poker
"Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
",0,Non Spam,18,weightloss girl friend load money ebay someth god
"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
",0,Non Spam,20,messag leav congrat dear school wat plan
"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? 
",0,Non Spam,15,eatin eatin wif fren lei
"Finish already... Yar they keep saying i mushy... I so embarrassed ok...
",0,Non Spam,12,finish alreadi yar mushi embarrass
"Sorry man, my stash ran dry last night and I can't pick up more until sunday
",0,Non Spam,16,sorri man stash dri night pick sunday
"Hai priya are you right. What doctor said pa. Where are you.
",0,Non Spam,12,hai priya doctor pa
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
",1,Spam,27,free msg sorri servic order <number> deliv suffici credit pleas receiv servic
"Please ask mummy to call father
",0,Non Spam,6,pleas mummi father
"Can come my room but cannot come my house cos my house still messy... Haha...
",0,Non Spam,15,room hous hous messi haha
"I have lost 10 kilos as of today!
",0,Non Spam,8,lost <number> kilo today
"Just taste fish curry :-P
",0,Non Spam,5,tast fish curri
"What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
",0,Non Spam,20,accid tookplac somewher ghodbandar traffic slove plz slip dont worri
"Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
",0,Non Spam,15,yun ahnow wkg wherebtw nu wana specialis wad
"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
",0,Non Spam,16,ye woman man pleas dislik bed
"Was doing my test earlier. I appreciate you. Will call you tomorrow.
",0,Non Spam,12,test earlier appreci tomorrow
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
",0,Non Spam,31,loverboy doe queen hmmm doesnt ach speak despar
"U meet other fren dun wan meet me ah... Muz b a guy rite...
",0,Non Spam,14,meet fren dun wan meet muz guy rite
"(No promises on when though, haven't even gotten dinner yet)
",0,Non Spam,10,promis havent dinner
"I got your back! Do you have any dislikes in bed?
",0,Non Spam,11,ani dislik bed
"o turns out i had stereo love on mi phone under the unknown album.
",0,Non Spam,14,turn stereo love mi phone unknown album
"Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
",1,Spam,23,hard live <number> chat pmin choos girl connect live <phone> cheap chat biggest live servic bcmwcnxx
"Yeah I don't see why not
",0,Non Spam,6,yeah dont whi
"Asking do u knw them or nt? May be ur frnds or classmates?
",0,Non Spam,13,knw frnd classmat
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!
",0,Non Spam,20,sorri earlier firesar talk <number> actual life lol
"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
",1,Spam,25,wow boy <number> tour win vip ticket prebook vip club txt club <number> trackmarqu infovipclubu
"As in missionary hook up, doggy hook up, standing...|
",0,Non Spam,9,missionari hook doggi hook standing|
"Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
",0,Non Spam,16,sleep dun disturb liao wake msg lor
"Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
",0,Non Spam,25,watch hous veri entertain hugh lauri thing stick inde especi stick
"Thought praps you meant another one. Goodo! I'll look tomorrow 
",0,Non Spam,10,thought prap meant anoth goodo ill tomorrow
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.
",0,Non Spam,32,jon pete ive bin <number> spain hav sum dinero left rent mayb hav <number>p <cur><number> jame
"There bold 2  &lt;#&gt; . Is that yours
",0,Non Spam,8,bold <number> <>
"You know there is. I shall speak to you in  &lt;#&gt;  minutes then
",0,Non Spam,13,speak <> minut
"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.""
",0,Non Spam,26,alrit hunnywot <number> nite didnt goin town pub chillin bedroomlov jen xxx
"I went to project centre
",0,Non Spam,5,project centr
"As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,Non Spam,22,request maangalyam alaipayuth ha set callertun caller press <number> copi friend callertun
"Lol yeah at this point I guess not
",0,Non Spam,8,lol yeah thi point guess
"Doing project w frens lor. 
",0,Non Spam,5,project fren lor
"Lol. Well quality aint bad at all so i aint complaining
",0,Non Spam,11,lol qualiti aint bad aint complain
"K, can that happen tonight?
",0,Non Spam,5,happen tonight
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
",1,Spam,34,thi mandi sullivan hotmix fmyou chosen receiv <cur><number> easter prize drawpleas telephon <phone> claim befor <number><number><number> prize transfer someon els
"I think we're going to finn's now, come
",0,Non Spam,8,finn
"Why tired what special there you had
",0,Non Spam,7,whi tire special
"I will come tomorrow di
",0,Non Spam,5,tomorrow
"K go and sleep well. Take rest:-).
",0,Non Spam,7,sleep rest
"U guys never invite me anywhere :(
",0,Non Spam,7,guy invit anywher
